id;categoria_id;nome;slug;descricao;sku;preco;preco_promocional;peso;altura;largura;comprimento;ativo;created_at;updated_at
28;10;Power Bank 10000mAh;power-bank-10000mah-28;Power Bank 10000mAh - produto original, garantia de 12 meses do fabricante.;SKU-1028;1202.75;;10.974;62;29;9;1;2024-03-06 19:49:48;2025-01-20 20:33:17
29;10;Suporte Veicular Magnético;suporte-veicular-magnetico-29;Suporte Veicular Magnético - produto original, garantia de 12 meses do fabricante.;SKU-1029;2260.19;;6.318;70;10;41;1;2024-02-25 22:11:08;2024-06-18 13:57:35
30;10;Fone com Fio P2;fone-com-fio-p2-30;Fone com Fio P2 - produto original, garantia de 12 meses do fabricante.;SKU-1030;7043.23;5986.75;9.185;33;86;70;1;2024-07-18 17:19:39;2025-08-01 15:55:05
31;10;Cabo USB-C 1m Reforçado;cabo-usb-c-1m-reforcado-31;Cabo USB-C 1m Reforçado - produto original, garantia de 12 meses do fabricante.;SKU-1031;1151.49;;11.448;65;37;7;1;2024-08-29 10:55:00;2024-09-20 06:11:17
32;11;Liquidificador 900W;liquidificador-900w-32;Liquidificador 900W - produto original, garantia de 12 meses do fabricante.;SKU-1032;2146.93;;2.942;31;67;10;1;2024-04-23 09:35:01;2025-04-04 20:17:33
33;11;Air Fryer 4L Digital;air-fryer-4l-digital-33;Air Fryer 4L Digital - produto original, garantia de 12 meses do fabricante.;SKU-1033;5075.99;;3.005;16;49;55;1;2024-09-03 13:34:24;2025-04-18 18:59:59
34;11;Cafeteira Expresso 15 Bar;cafeteira-expresso-15-bar-34;Cafeteira Expresso 15 Bar - produto original, garantia de 12 meses do fabricante.;SKU-1034;818.82;0.00;3.110;58;9;47;1;2024-09-24 08:01:31;2025-05-22 01:02:44
35;11;Sanduicheira Grill;sanduicheira-grill-35;Sanduicheira Grill - produto original, garantia de 12 meses do fabricante.;SKU-1035;3176.12;;1.612;31;9;62;1;2024-09-25 07:36:37;2025-11-17 16:06:59
36;11;Batedeira Planetária 600W;batedeira-planetaria-600w-36;Batedeira Planetária 600W - produto original, garantia de 12 meses do fabricante.;SKU-1036;6791.51;5772.78;9.119;23;8;9;1;2025-05-10 11:36:36;2025-08-25 20:07:15
37;11;Aspirador Vertical 2 em 1;aspirador-vertical-2-em-1-37;Aspirador Vertical 2 em 1 - produto original, garantia de 12 meses do fabricante.;SKU-1037;7085.99;;2.850;5;5;7;1;2024-12-08 01:24:48;2025-04-18 19:55:22
38;11;Panela Elétrica de Arroz;panela-eletrica-de-arroz-38;Panela Elétrica de Arroz - produto original, garantia de 12 meses do fabricante.;SKU-1038;2327.99;;3.137;65;76;52;1;2024-07-19 16:34:53;2025-06-19 11:45:45
39;11;Forno Elétrico 45L;forno-eletrico-45l-39;Forno Elétrico 45L - produto original, garantia de 12 meses do fabricante.;SKU-1039;5385.18;;5.983;69;36;33;1;2024-09-14 11:43:54;2025-01-21 05:24:56
40;12;Jogo de Panelas 5 Peças;jogo-de-panelas-5-pecas-40;Jogo de Panelas 5 Peças - produto original, garantia de 12 meses do fabricante.;SKU-1040;5643.03;;8.578;59;36;10;1;2024-04-15 12:12:35;2024-08-29 11:29:26
41;12;Organizador Modular;organizador-modular-41;Organizador Modular - produto original, garantia de 12 meses do fabricante.;SKU-1041;5579.79;;4.624;62;6;39;1;2024-09-07 22:27:55;2025-04-05 17:17:09
42;12;Luminária de Mesa LED;luminaria-de-mesa-led-42;Luminária de Mesa LED - produto original, garantia de 12 meses do fabricante.;SKU-1042;7149.81;6077.34;6.075;46;37;35;1;2025-05-07 00:57:04;2025-09-21 04:09:37
43;12;Ventilador de Mesa 40cm;ventilador-de-mesa-40cm-43;Ventilador de Mesa 40cm - produto original, garantia de 12 meses do fabricante.;SKU-1043;5084.26;;7.261;51;29;55;1;2025-01-27 16:56:14;2025-10-25 21:48:08
44;12;Garrafa Térmica 1L;garrafa-termica-1l-44;Garrafa Térmica 1L - produto original, garantia de 12 meses do fabricante.;SKU-1044;3897.58;4677.10;1.782;56;90;20;1;2024-05-07 08:38:14;2025-06-17 17:04:34
45;12;Balança Digital de Cozinha;balanca-digital-de-cozinha-45;Balança Digital de Cozinha - produto original, garantia de 12 meses do fabricante.;SKU-1045;2913.13;;8.332;14;50;64;1;2025-03-25 05:18:01;2025-07-23 02:10:38
46;12;Conjunto de Potes Herméticos;conjunto-de-potes-hermeticos-46;Conjunto de Potes Herméticos - produto original, garantia de 12 meses do fabricante.;SKU-1046;5461,06;;1.320;59;58;24;1;2024-02-06 03:33:54;2025-03-21 00:46:14
47;13;Console Play X 1TB;console-play-x-1tb-47;Console Play X 1TB - produto original, garantia de 12 meses do fabricante.;SKU-1047;7397.40;;1.618;33;11;56;1;2024-01-23 06:54:35;2025-08-13 09:19:14
48;13;Console Mini Retrô;console-mini-retro-48;Console Mini Retrô - produto original, garantia de 12 meses do fabricante.;SKU-1048;2428.62;2064.33;9.571;34;50;70;1;2024-10-11 05:37:03;2024-10-22 16:57:13
49;13;Controle Sem Fio;controle-sem-fio-49;Controle Sem Fio - produto original, garantia de 12 meses do fabricante.;SKU-1049;5688.68;;0.621;47;13;47;1;2025-05-08 08:42:47;2025-05-31 10:05:12
50;13;Base de Carregamento Dupla;base-de-carregamento-dupla-50;Base de Carregamento Dupla - produto original, garantia de 12 meses do fabricante.;SKU-1050;8150.44;;1.274;42;62;55;1;2025-04-11 02:10:36;2025-06-10 07:47:36
51;13;Console Portátil 64GB;console-portatil-64gb-51;Console Portátil 64GB - produto original, garantia de 12 meses do fabricante.;SKU-1051;1371.76;0.00;2.444;6;58;50;1;2024-11-04 18:12:14;2025-11-11 13:25:15
52;13;Headset VR Compacto;headset-vr-compacto-52;Headset VR Compacto - produto original, garantia de 12 meses do fabricante.;SKU-1052;8310.21;;4.876;59;26;9;1;2025-04-01 09:43:45;2025-08-20 22:51:15
53;14;Jogo Corrida Extrema 2025;jogo-corrida-extrema-2025-53;Jogo Corrida Extrema 2025 - produto original, garantia de 12 meses do fabricante.;SKU-1053;623.25;;11.366;12;84;30;1;2024-07-01 03:53:49;2025-10-22 04:00:09
54;14;Jogo Aventura Total;jogo-aventura-total-54;Jogo Aventura Total - produto original, garantia de 12 meses do fabricante.;SKU-1054;5979.32;5082.42;8.386;33;51;44;1;2024-02-13 22:06:17;2024-08-02 22:38:07
55;14;Jogo Futebol Pro 25;jogo-futebol-pro-25-55;Jogo Futebol Pro 25 - produto original, garantia de 12 meses do fabricante.;SKU-1055;1087.31;;1.465;66;8;32;1;2024-11-26 07:54:58;2025-05-20 00:57:40
56;14;Jogo Estratégia Império;jogo-estrategia-imperio-56;Jogo Estratégia Império - produto original, garantia de 12 meses do fabricante.;SKU-1056;2603.98;;0.691;46;28;27;1;2024-06-23 13:29:41;2024-12-16 11:18:17
57;14;Jogo Terror Silencioso;jogo-terror-silencioso-57;Jogo Terror Silencioso - produto original, garantia de 12 meses do fabricante.;SKU-1012;6616.25;;5.347;56;43;31;1;2024-01-12 14:59:24;2025-10-30 19:39:41
58;14;Jogo Plataforma Kids;jogo-plataforma-kids-58;Jogo Plataforma Kids - produto original, garantia de 12 meses do fabricante.;SKU-1058;2401.98;;0.606;48;38;5;1;2024-11-10 11:47:55;2024-12-08 22:02:43
59;14;Jogo Simulador de Fazenda;jogo-simulador-de-fazenda-59;Jogo Simulador de Fazenda - produto original, garantia de 12 meses do fabricante.;SKU-1059;1063.67;;11.209;67;8;53;1;2024-12-12 02:14:48;2025-06-08 21:01:02
60;15;Fone Bluetooth ANC;fone-bluetooth-anc-60;Fone Bluetooth ANC - produto original, garantia de 12 meses do fabricante.;SKU-1060;3254.48;2766.31;2.515;59;62;18;1;2024-08-29 23:29:12;2025-07-02 13:45:36
61;15;Fone Intra Auricular TWS;fone-intra-auricular-tws-61;Fone Intra Auricular TWS - produto original, garantia de 12 meses do fabricante.;SKU-1061;2125.02;;4.905;51;63;53;1;2024-09-15 01:24:59;2025-10-03 12:24:17
62;15;Fone Over Ear Studio;fone-over-ear-studio-62;Fone Over Ear Studio - produto original, garantia de 12 meses do fabricante.;SKU-1062;2071.00;;1.108;4;27;49;1;2025-04-01 06:28:54;2025-11-02 15:32:06
63;15;Fone Esportivo à Prova de Água;fone-esportivo-a-prova-de-agua-63;Fone Esportivo à Prova de Água - produto original, garantia de 12 meses do fabricante.;SKU-1063;3429.57;;4.005;19;15;18;1;2024-01-23 03:26:41;2025-08-02 10:38:29
64;15;Fone Gamer com Microfone;fone-gamer-com-microfone-64;Fone Gamer com Microfone - produto original, garantia de 12 meses do fabricante.;SKU-1064;583.88;;8.870;3;78;9;1;2025-02-20 10:39:07;2025-10-21 11:22:58
65;15;Fone Condução Óssea;fone-conducao-ossea-65;Fone Condução Óssea - produto original, garantia de 12 meses do fabricante.;SKU-1065;8218.77;;6.405;51;29;31;1;2024-06-18 03:04:08;2025-04-07 04:44:54
66;16;Caixa de Som Portátil 20W;caixa-de-som-portatil-20w-66;Caixa de Som Portátil 20W - produto original, garantia de 12 meses do fabricante.;SKU-1066;6675.89;5674.51;1.577;66;52;18;1;2025-05-16 07:34:51;2025-08-23 01:05:54
67;16;Soundbar 120W Bluetooth;soundbar-120w-bluetooth-67;Soundbar 120W Bluetooth - produto original, garantia de 12 meses do fabricante.;SKU-1067;8138.80;;7.613;69;82;15;1;2025-04-23 16:53:12;2025-06-06 06:17:56
68;16;Caixa Amplificada 200W;caixa-amplificada-200w-68;Caixa Amplificada 200W - produto original, garantia de 12 meses do fabricante.;SKU-1068;952.10;0.00;7.332;52;13;16;0;2024-05-26 07:48:37;2025-07-01 06:28:15
69;16;Mini Speaker à Prova de Água;mini-speaker-a-prova-de-agua-69;Mini Speaker à Prova de Água - produto original, garantia de 12 meses do fabricante.;SKU-1069;1032,24;;5.603;21;20;47;1;2024-11-18 21:19:09;2024-12-11 13:13:27
70;16;Home Theater 5.1;home-theater-5-1-70;Home Theater 5.1 - produto original, garantia de 12 meses do fabricante.;SKU-1070;5882.07;;3.828;67;74;35;1;2025-02-04 17:05:08;2025-06-05 23:29:37
71;17;Cadeira Gamer Reclinável;cadeira-gamer-reclinavel-71;Cadeira Gamer Reclinável - produto original, garantia de 12 meses do fabricante.;SKU-1071;3442.53;;5.502;8;19;48;1;2024-02-07 12:40:07;2025-04-07 16:29:10
72;17;Cadeira Ergonômica Presidente;cadeira-ergonomica-presidente-72;Cadeira Ergonômica Presidente - produto original, garantia de 12 meses do fabricante.;SKU-1072;8945.01;7603.26;11.929;33;65;43;1;2025-05-11 08:57:54;2025-05-28 07:49:52
73;17;Cadeira Diretor Giratória;cadeira-diretor-giratoria-73;Cadeira Diretor Giratória - produto original, garantia de 12 meses do fabricante.;SKU-1073;3185.50;;7.750;15;40;15;1;2024-02-29 18:33:06;2025-09-13 19:19:15
74;17;Cadeira Operacional Malha;cadeira-operacional-malha-74;Cadeira Operacional Malha - produto original, garantia de 12 meses do fabricante.;SKU-1074;2329.56;;0.117;14;11;62;1;2024-02-22 23:52:01;2024-12-01 04:07:47
75;17;Banqueta Alta Ajustável;banqueta-alta-ajustavel-75;Banqueta Alta Ajustável - produto original, garantia de 12 meses do fabricante.;SKU-1075;8161.67;;10.382;70;10;27;1;2025-05-09 13:14:24;2025-08-07 17:33:05
76;18;Mesa de Escritório 120cm;mesa-de-escritorio-120cm-76;Mesa de Escritório 120cm - produto original, garantia de 12 meses do fabricante.;SKU-1076;5638.02;;5.510;23;23;38;1;2024-03-22 16:13:10;2024-12-20 02:44:24
77;18;Mesa Gamer 140cm;mesa-gamer-140cm-77;Mesa Gamer 140cm - produto original, garantia de 12 meses do fabricante.;SKU-1077;7921.25;;1.517;11;86;67;1;2024-08-10 07:57:57;2025-09-02 18:27:04
78;18;Mesa em L Compacta;mesa-em-l-compacta-78;Mesa em L Compacta - produto original, garantia de 12 meses do fabricante.;SKU-1078;3585.14;3047.37;7.224;47;22;5;1;2025-01-28 20:10:42;2025-11-07 12:33:59
79;18;Mesa Elevatória Manual;mesa-elevatoria-manual-79;Mesa Elevatória Manual - produto original, garantia de 12 meses do fabricante.;SKU-1079;8519.99;;10.273;56;76;68;1;2025-02-03 05:13:30;2025-08-27 10:49:28
80;18;Escrivaninha Slim 90cm;escrivaninha-slim-90cm-80;Escrivaninha Slim 90cm - produto original, garantia de 12 meses do fabricante.;SKU-1080;4551.74;;5.985;20;28;5;1;2024-03-01 08:12:17;2025-02-14 05:16:01
